"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 12 06:11:30 UTC 2024","Fri Jul 12 06:11:30 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Fri Jul 12 07:01:25 UTC 2024","Fri Jul 12 07:01:36 UTC 2024","10348","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"skipped","Fri Jul 12 06:41:17 UTC 2024","Fri Jul 12 06:41:17 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"skipped","Fri Jul 12 08:49:33 UTC 2024","Fri Jul 12 08:49:33 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Fri Jul 12 06:22:52 UTC 2024","Fri Jul 12 06:22:53 UTC 2024","1593","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"skipped","Fri Jul 12 06:41:17 UTC 2024","Fri Jul 12 06:41:17 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"skipped","Fri Jul 12 06:11:30 UTC 2024","Fri Jul 12 06:11:30 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Fri Jul 12 07:01:44 UTC 2024","Fri Jul 12 07:01:49 UTC 2024","5030","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"skipped","Fri Jul 12 06:11:30 UTC 2024","Fri Jul 12 06:11:30 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"failed","Fri Jul 12 06:45:11 UTC 2024","Fri Jul 12 06:45:30 UTC 2024","19215","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Fri Jul 12 07:17:07 UTC 2024","Fri Jul 12 07:17:11 UTC 2024","4328","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"failed","Fri Jul 12 05:49:46 UTC 2024","Fri Jul 12 05:52:37 UTC 2024","170599","","8. Sign Up new user","","","","1. Create a new user",""
